clothing_type,gender,season,city,color,review_score,price_range,sales_volume,date
Shirt,Male,Spring,Nagpur,White,4.798254202013224,36.21900771232106,2157,2027-01-21 14:43:54.165463
Shorts,Female,Spring,Pune,Blue,3.5724888004243174,51.53415716159906,790,2044-05-08 14:43:54.165463
Sweater,Female,Summer,Bhopal,Blue,3.515409664218889,91.12528619195142,377,2034-10-29 14:43:54.165463
Socks,Male,Spring,Patna,Blue,4.6406523907074835,8.489254917158384,1218,2045-01-09 14:43:54.165463
Shirt,Female,Winter,Meerut,Yellow,3.555966457004951,46.14773900769504,462,2041-03-17 14:43:54.165463
Sweater,Female,Spring,Bhopal,Grey,4.315245187804045,88.25961798973077,714,2043-01-29 14:43:54.165463
Sweater,Male,Summer,Mumbai,Pink,4.643006287803918,52.8794820550894,795,2041-06-25 14:43:54.165463
Kurta,Female,Winter,Pune,Pink,4.584953695420745,62.90055559028812,712,2033-07-27 14:43:54.165463
Socks,Female,Winter,Ludhiana,Red,4.563901474851858,15.552091581954967,849,2036-05-19 14:43:54.165463
Pants,Male,Summer,Delhi,Pink,3.1772751397304697,73.43275210508699,472,2028-06-01 14:43:54.165463
Hoodie,Male,Winter,Faridabad,Red,3.1596939351447286,35.251167783548404,779,2029-09-21 14:43:54.165463
Jacket,Male,Summer,Ahmedabad,Blue,3.613540071474775,116.88616028871692,328,2036-04-13 14:43:54.165463
Shoes,Female,Fall,Thane,Grey,3.0718957623920353,141.07628304935116,307,2040-01-05 14:43:54.165463
Hoodie,Female,Fall,Indore,Black,4.0008594730385285,77.33937500824476,439,2034-04-16 14:43:54.165463
T-Shirt,Male,Spring,Bangalore,Yellow,3.789564132540437,49.86685693311902,499,2034-05-16 14:43:54.165463
Jacket,Female,Spring,Kolkata,Blue,4.114051825086298,152.40379404750811,569,2028-12-25 14:43:54.165463
Jacket,Male,Spring,Hyderabad,Grey,3.597577077339381,143.0231169495731,495,2048-08-15 14:43:54.165463
Scarf,Male,Spring,Lucknow,Green,3.971508005980854,49.64069533081506,639,2048-12-05 14:43:54.165463
Jeans,Male,Summer,Kanpur,Grey,3.6694895317181073,44.853451230254706,748,2031-10-29 14:43:54.165463
Blazer,Female,Fall,Thane,Pink,3.390416184446617,74.14301026908866,970,2038-01-24 14:43:54.165463
Shorts,Female,Summer,Chennai,Blue,4.29873336227563,42.42730105696337,1598,2049-04-23 14:43:54.165463
Shorts,Male,Winter,Faridabad,Pink,4.34687180299837,34.346584573983634,346,2039-03-11 14:43:54.165463
